#beam run file  event                time              chan[0 11] 
1   38   97      8639 2017 09 29 14 19 46 0 0 0 1 0 1 0 0 0 0 1 0
1   38   84      2944 2017 09 29 11 24 54 0 0 0 1 0 0 0 1 0 0 0 1
1   38   57      7133 2017 09 29 05 42 02 0 0 1 1 0 0 0 1 0 1 0 1
1   38   70      1450 2017 09 29 08 22 01 0 1 0 1 1 0 0 1 1 1 0 0
1   38   70      5836 2017 09 29 08 27 40 0 1 1 1 1 0 1 1 0 0 0 1
1   38   70      7426 2017 09 29 08 29 44 0 0 0 1 0 0 0 1 0 1 0 0
0   38   43       661 2017 09 29 02 33 47 0 1 0 0 1 0 1 0 0 0 1 0
0   38   43      8794 2017 09 29 02 44 24 0 0 0 1 0 0 1 1 0 0 0 1
1   38    2      1897 2017 09 28 17 47 18 0 0 0 1 1 0 0 1 1 0 0 1
1   38   98      4848 2017 09 29 14 27 59 0 0 1 0 0 0 1 1 1 1 1 1
1   38  113       531 2017 09 29 17 34 08 0 0 1 1 0 1 1 0 1 0 0 0
1   38  113      4282 2017 09 29 17 39 02 0 1 1 1 0 0 0 1 0 0 1 0
1   38  113      8367 2017 09 29 17 44 10 0 1 1 1 1 1 1 1 1 1 1 1
1   38   85      6006 2017 09 29 11 41 28 0 1 0 0 0 0 0 1 0 1 0 0
1   38   71       846 2017 09 29 08 34 00 0 1 0 0 1 1 1 1 1 1 1 1
1   38   71       959 2017 09 29 08 34 09 0 1 1 1 1 0 1 0 0 1 0 0
1   38   71      2840 2017 09 29 08 36 32 0 0 0 1 1 0 1 0 1 1 1 1
1   38   71      5165 2017 09 29 08 39 31 0 0 1 0 1 0 1 1 0 1 0 0
1   38   58       465 2017 09 29 05 46 23 0 0 1 0 0 1 0 0 1 1 1 1
1   38   30      1791 2017 09 28 23 47 42 0 0 1 0 1 0 0 1 0 0 0 1
1   38   30      5199 2017 09 28 23 52 00 0 1 1 1 1 1 1 1 0 0 0 1
1   38   30      8322 2017 09 28 23 55 47 0 0 0 1 0 0 0 1 1 0 0 0
1   38   59      4431 2017 09 29 06 04 39 0 0 0 1 1 0 0 1 0 1 0 0
0   38   44      2384 2017 09 29 02 49 11 0 1 1 1 0 1 0 1 1 0 0 0
0   38   44      4019 2017 09 29 02 51 19 0 0 1 1 0 0 1 0 0 0 1 0
1   38   17      2156 2017 09 28 21 01 06 0 1 0 1 0 1 0 0 0 1 1 1
1   38   17      7284 2017 09 28 21 07 36 0 1 1 0 0 1 1 0 0 1 0 1
1   38   17      7821 2017 09 28 21 08 14 0 1 1 1 0 1 0 0 0 0 0 1
1   38   99       269 2017 09 29 14 34 48 0 1 0 1 1 1 1 0 1 1 0 1
1   38   99      1504 2017 09 29 14 36 25 0 1 0 1 0 0 0 1 0 0 0 1
1   38  114        63 2017 09 29 17 46 22 0 0 0 1 1 1 1 1 0 0 0 1
1   38  114      7403 2017 09 29 17 55 44 0 1 0 0 1 0 1 1 0 1 0 0
1   38   86      4732 2017 09 29 11 52 49 0 1 0 0 0 0 0 1 0 1 0 0
1   38   72      1640 2017 09 29 08 47 52 0 1 0 1 0 1 0 1 1 0 0 0
1   38   72      3350 2017 09 29 08 50 02 0 0 1 1 1 0 1 0 0 1 0 1
1   38   72      6246 2017 09 29 08 53 49 0 0 0 1 0 0 1 1 0 0 1 0
1   38   18      4086 2017 09 28 21 16 24 0 0 1 0 1 0 0 0 1 1 0 0
1   38   18      8871 2017 09 28 21 22 28 0 1 1 1 1 1 1 1 0 1 0 0
0   38   45       619 2017 09 29 02 59 51 0 0 1 1 1 1 1 1 0 0 0 1
